word,count
halloween,4511
happy,4010
new,3985
update,2435
first,2419
island,2323
love,2243
cute,1634
got,1503
animal,1468
crossing,1441
time,1338
home,1272
like,1238
day,1132
get,1077
house,1073
look,1058
one,964
finally,892
much,853
lol,844
dlc,829
camera,818
good,812
im,811
fun,766
back,760
today,732
game,674
oh,673
villagers,671
anyone,668
omg,654
n,644
little,631
made,614
found,603
go,588
brewster,580
best,579
villager,569
coffee,556
visit,553
ready,552
night,550
really,543
work,533
know,530
want,521
see,518
kapp,502
come,501
everyone,498
last,487
came,479
going,466
let,457
need,455
acnh,444
spooky,443
paradise,439
think,437
u,435
room,428
birthday,427
also,418
make,414
nook,412
still,400
gyroids,384
friends,380
wait,369
costume,360
well,353
right,349
playing,348
play,344
nice,343
looks,336
gonna,335
xd,335
items,334
live,333
favorite,328
getting,328
excited,328
bells,322
would,318
year,317
two,316
thing,314
guys,310
photo,306
take,305
